"","V1","city","gu","ad_dong","id","adstrd_code","cul_mean_amt","hel_mean_amt","medi_mean_amt","mean_commerce","conv_dep","mean_dep","bus_sum","wdoverwk","sub_sum","cluster","highsat","satis_ind"
"99",99,"서울특별시","중랑구","면목7동",1107057,1126057000,13.9723183391003,2.8411214953271,95.9513590844063,498.321184510251,164.906198652343,626.988456941799,17,1.01267164712003,0,2,1,0.631922117871411
"100",100,"서울특별시","중랑구","면목3.8동",1107072,1126057500,22.2452830188679,2.36470588235294,107.770025839793,670.022388059701,192.516388558868,589.707930728909,0,1.0559639461306,1,2,1,0.574254292120996
"101",101,"서울특별시","중랑구","상봉1동",1107059,1126058000,3.54509803921569,1.39285714285714,70.2707581227437,616.293532338308,147.379615584838,518.495246720427,16,1.12561179630685,0,2,1,0.532130672142413
"102",102,"서울특별시","중랑구","상봉2동",1107060,1126059000,36.4770833333333,3.86725663716814,90.7301587301587,1544.53530751708,149.12351267414,675.090364599078,15,1.10892424315746,0,2,1,0.71358851413702
"103",103,"서울특별시","중랑구","중화1동",1107061,1126060000,3.07258064516129,1.37254901960784,53.1525423728814,465.432258064516,122.540305906833,422.577013788569,14,1.1098282295455,1,2,1,0.439673554678892
"104",104,"서울특별시","중랑구","중화2동",1107062,1126061000,19.758064516129,19.7089552238806,125.205357142857,858.422885572139,103.914848464329,433.290957641446,28,1.09412771987131,0,2,1,0.430206592679741
"105",105,"서울특별시","중랑구","묵1동",1107064,1126062000,7.4551724137931,1.36363636363636,76.1771428571429,756.555808656036,165.398579326715,479.614976322368,31,1.00018938738306,1,2,1,0.517265602194418
"106",106,"서울특별시","중랑구","묵2동",1107065,1126063000,13.6495176848875,3.17142857142857,100.167619047619,392.337129840547,152.100413044407,550.089034179147,19,0.988457919997858,0,2,1,0.557610925029368
"107",107,"서울특별시","중랑구","망우본동",1107073,1126065500,16.7257525083612,2.925,154.870520231214,924.922551252847,206.104268782858,573.626568348384,55,1.07003806778664,1,2,1,0.663584811086465
"108",108,"서울특별시","중랑구","망우3동",1107068,1126066000,5.37848605577689,3.175,27.400974025974,324.670886075949,98.1676372371651,405.328196168656,11,1.06053950096438,0,2,1,0.415143911628942
"109",109,"서울특별시","중랑구","신내1동",1107069,1126068000,8.50171821305842,20.7735849056604,123.869375907112,569.981776765376,159.522594148685,301.320352462375,48,1.03494769305341,0,2,1,0.356184974175096
"110",110,"서울특별시","중랑구","신내2동",1107070,1126069000,2.96888888888889,1.54794520547945,99.4684975767367,386.796992481203,123.6110235752,430.869108460332,21,1.12099283295459,1,2,1,0.461926650885606
